id_pleito;tipo_interessado;interessado;cod_ibge;uf;num_pvl;status;num_processo;data_protocolo;tipo_operacao;finalidade;tipo_credor;credor;moeda;valor;pvl_assoc_divida;pvl_contradado_credor;data_status
42037;Estado;Bahia;29;BA;PVL02.007745/2019-06;Deferido;17944.101173/2020-49;2020-03-24T17:42:47Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;250000000.0;1;1;25/03/2020
69633;Estado;Bahia;29;BA;PVL02.001281/2024-83;Encaminhado à PGFN com manifestação técnica favorável;17944.002726/2024-13;2024-10-29T17:05:45Z;Operação contratual externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;100000000.0;0;0;21/11/2024
18550;Estado;Bahia;29;BA;;Deferido;19407.000048/2006-77;2006-07-11T00:00:00Z;Operação contratual interna;Segurança pública;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;457205.74;1;0;20/07/2006
18583;Estado;Bahia;29;BA;;Deferido;19407.000057/2002-34;2002-06-17T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1303036.61;1;0;05/07/2002
18441;Estado;Bahia;29;BA;;Deferido;19407.000023/2005-92;2006-01-16T00:00:00Z;Operação contratual interna;Desenvolvimento sustentável;Instituição Financeira Nacional;Banco do Nordeste do Brasil S/A;Dólar dos EUA;15000000.0;1;0;21/02/2006
18354;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;19407.000005/2006-91;2006-01-31T00:00:00Z;Operação contratual externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Fundo Internacional de Desenvolvimento Agrícola;Dólar dos EUA;30000000.0;1;0;04/07/2006
18368;Estado;Bahia;29;BA;;Deferido;19407.000008/2005-44;2005-06-30T00:00:00Z;Operação contratual interna;Segurança pública;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;53839498.74;1;0;26/07/2005
18389;Estado;Bahia;29;BA;;Deferido;19407.000013/2002-12;2002-05-31T00:00:00Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;59400000.0;1;0;18/06/2002
71754;Estado;Bahia;29;BA;PVL02.001145/2025-74;Encaminhado à PGFN com manifestação técnica favorável;17944.003774/2025-00;2025-10-08T18:32:45Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1200000000.0;0;1;16/10/2025
68346;Estado;Bahia;29;BA;PVL02.003796/2023-37;Encaminhado à PGFN com manifestação técnica favorável;17944.001584/2024-69;2024-05-03T10:12:30Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;400000000.0;0;1;16/05/2024
69073;Estado;Bahia;29;BA;PVL02.000635/2024-72;Encaminhado à PGFN com manifestação técnica favorável;17944.000940/2024-27;2024-08-21T17:58:47Z;Operação contratual externa (com garantia da União);Saúde;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;150000000.0;0;0;06/09/2024
18511;Estado;Bahia;29;BA;;Deferido;19407.000039/2002-52;2002-06-11T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2307420.42;1;0;08/07/2002
18543;Estado;Bahia;29;BA;;Deferido;19407.000047/2002-07;2002-06-21T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1481000.0;1;0;03/07/2002
18551;Estado;Bahia;29;BA;;Deferido;19407.000049/2002-98;2002-06-21T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4994000.0;1;0;05/07/2002
18575;Estado;Bahia;29;BA;;Deferido;19407.000055/2002-45;2002-06-17T00:00:00Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;9392072.94;1;0;05/07/2002
18579;Estado;Bahia;29;BA;;Deferido;19407.000056/2002-90;2002-06-19T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;8667000.0;1;0;05/07/2002
18587;Estado;Bahia;29;BA;;Deferido;19407.000058/2002-89;2002-06-17T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1400868.5;1;0;08/07/2002
18503;Estado;Bahia;29;BA;;Deferido;19407.000037/2002-63;2002-06-11T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5285441.39;1;0;03/07/2002
18363;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;19407.000007/2005-08;2005-06-23T00:00:00Z;Operação contratual externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;49296000.0;1;0;25/01/2006
18476;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;19407.000030/2005-94;2005-12-30T00:00:00Z;Operação contratual externa (com garantia da União);Fortalecimento Institucional;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;12000000.0;1;0;04/07/2006
8342;Estado;Bahia;29;BA;;Deferido;17944.000760/2009-14;2009-12-07T00:00:00Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;6289454.99;1;0;17/12/2009
10859;Estado;Bahia;29;BA;;Deferido;17944.001302/2013-71;2013-10-11T00:00:00Z;Operação contratual interna;PAC 2 - Mobilidade Grandes Cidades;Instituição Financeira Nacional;Caixa Econômica Federal;Real;400000000.0;1;0;18/10/2013
12991;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001875/2008-37;2010-05-10T00:00:00Z;Operação contratual externa (com garantia da União);Desenvolvimento rural;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;30000000.0;1;0;24/06/2010
8949;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000872/2014-24;2014-07-11T00:00:00Z;Operação contratual externa (com garantia da União);Saúde;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;200000000.0;1;0;28/07/2014
18515;Estado;Bahia;29;BA;;Deferido;19407.000040/2002-87;2002-06-21T00:00:00Z;Operação contratual interna;Preservação e recuperação ambiental;Instituição Financeira Nacional;Caixa Econômica Federal;Real;18938000.0;1;0;08/07/2002
43670;Estado;Bahia;29;BA;PVL02.001988/2020-66;Deferido;17944.105210/2020-98;2021-01-04T16:42:50Z;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Instituição Financeira Internacional;Kreditanstalt für Wiederaufbau;Euro;60000000.0;0;0;07/01/2021
10431;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001198/2012-33;2013-07-04T00:00:00Z;Operação contratual externa (com garantia da União);Multissetorial;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;50822905.0;1;0;09/08/2013
10198;Estado;Bahia;29;BA;;Deferido;17944.001142/2010-17;2010-08-03T00:00:00Z;Operação contratual interna;PMAE;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;9905400.0;1;0;16/08/2010
7078;Estado;Bahia;29;BA;;Deferido;17944.000492/2008-41;2008-03-24T00:00:00Z;Operação contratual interna;PAC - Pró-Moradia - 2008;Instituição Financeira Nacional;Caixa Econômica Federal;Real;52997490.0;1;0;09/04/2008
6768;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000425/2010-41;2011-11-25T00:00:00Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;60000000.0;1;0;15/12/2011
10420;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001195/2012-08;2013-07-04T00:00:00Z;Operação contratual externa (com garantia da União);Profisco;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;45270000.0;1;0;17/07/2013
9412;Estado;Bahia;29;BA;;Deferido;17944.000975/2010-61;2010-06-30T00:00:00Z;Operação contratual interna;PAC - Copa Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;541800000.0;1;0;21/07/2010
69613;Estado;Bahia;29;BA;PVL02.001644/2024-81;Encaminhado à PGFN com manifestação técnica favorável;17944.005802/2024-34;2024-10-16T18:55:34Z;Operação contratual interna (com garantia da União);Segurança pública;Instituição Financeira Nacional;Banco Santander (Brasil) S.A.;Real;400000000.0;0;0;05/11/2024
70053;Estado;Bahia;29;BA;PVL02.001761/2024-44;Encaminhado à PGFN com manifestação técnica favorável;17944.005137/2024-89;2025-05-27T18:49:09Z;Operação contratual externa (com garantia da União);Desenvolvimento rural;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;100000000.0;0;0;03/06/2025
70054;Estado;Bahia;29;BA;PVL02.001646/2024-70;Encaminhado à PGFN com manifestação técnica favorável;17944.006713/2024-13;2025-05-09T14:16:48Z;Operação contratual interna (com garantia da União);Desenvolvimento rural;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;252000000.71;0;0;21/05/2025
71182;Estado;Bahia;29;BA;PVL02.000793/2025-11;Deferido;17944.002356/2025-97;2025-06-04T17:57:43Z;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Outras Organizações;Pessoa Jurídica;Real;132833256.35;0;0;12/06/2025
69933;Estado;Bahia;29;BA;PVL02.001821/2024-29;Encaminhado à PGFN com manifestação técnica favorável;17944.002682/2024-13;2024-12-19T17:07:22Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;150000000.0;0;0;27/12/2024
7433;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000575/2012-17;2012-08-20T00:00:00Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;700000000.0;1;0;06/09/2012
71158;Estado;Bahia;29;BA;PVL02.000814/2025-91;Deferido;17944.002330/2025-49;2025-06-04T17:59:30Z;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Outras Organizações;Pessoa Jurídica;Real;128946323.82;0;0;12/06/2025
71140;Estado;Bahia;29;BA;PVL02.000706/2025-18;Encaminhado à PGFN com manifestação técnica favorável;17944.001198/2025-58;2025-05-27T18:51:09Z;Operação contratual externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;200000000.0;0;0;03/06/2025
71149;Estado;Bahia;29;BA;PVL02.000810/2025-11;Deferido;17944.002370/2025-91;2025-06-04T17:50:51Z;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Outras Organizações;Pessoa Jurídica;Real;131178286.74;0;0;12/06/2025
18559;Estado;Bahia;29;BA;;Deferido;19407.000051/2002-67;2002-06-11T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;19835970.0;1;0;08/07/2002
18567;Estado;Bahia;29;BA;;Deferido;19407.000053/2002-56;2002-06-17T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2039426.01;1;0;03/07/2002
18571;Estado;Bahia;29;BA;;Deferido;19407.000054/2002-09;2002-06-17T00:00:00Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;179752.25;1;0;08/07/2002
11283;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001402/2009-11;2010-03-02T00:00:00Z;Operação contratual interna (com garantia da União);PEF - Programa Emergencial de Financiamento dos Estados/DF;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;183279000.0;1;0;09/03/2010
71371;Estado;Bahia;29;BA;PVL02.000126/2025-21;Encaminhado à PGFN com manifestação técnica favorável;17944.002843/2025-50;2025-07-18T16:56:49Z;Operação contratual interna (com garantia da União);Novo PAC;Instituição Financeira Nacional;Caixa Econômica Federal;Real;81112884.0;0;0;20/08/2025
71372;Estado;Bahia;29;BA;PVL02.002201/2024-15;Encaminhado à PGFN com manifestação técnica favorável;17944.002844/2025-02;2025-07-18T16:59:02Z;Operação contratual interna (com garantia da União);Novo PAC;Instituição Financeira Nacional;Caixa Econômica Federal;Real;32422911.0;0;0;20/08/2025
10557;Estado;Bahia;29;BA;;Deferido;17944.001227/2013-48;2013-10-07T00:00:00Z;Operação contratual interna;PAC 2 - Mobilidade Grandes Cidades;Instituição Financeira Nacional;Caixa Econômica Federal;Real;600000000.0;1;0;16/10/2013
11514;Estado;Bahia;29;BA;;Deferido;17944.001466/2007-50;2007-10-26T00:00:00Z;Operação contratual interna;Segurança pública;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;70000000.0;1;0;23/11/2007
69653;Estado;Bahia;29;BA;PVL02.001239/2024-62;Encaminhado à PGFN com manifestação técnica favorável;17944.002660/2024-53;2024-10-29T17:08:25Z;Operação contratual externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Fundo Internacional de Desenvolvimento Agrícola;Dólar dos EUA;18000000.0;0;0;21/11/2024
71159;Estado;Bahia;29;BA;PVL02.000815/2025-35;Deferido;17944.002331/2025-93;2025-06-04T18:01:05Z;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Outras Organizações;Pessoa Jurídica;Real;174529117.11;0;0;12/06/2025
45396;Estado;Bahia;29;BA;PVL02.001082/2021-22;Encaminhado à PGFN com manifestação técnica favorável;17944.102529/2021-42;2022-06-14T13:50:29Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;228000000.0;0;1;20/06/2022
70114;Estado;Bahia;29;BA;PVL02.001721/2024-01;Encaminhado à PGFN com manifestação técnica favorável;17944.006825/2024-66;2025-03-24T15:47:03Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;150000000.0;0;1;28/03/2025
70033;Estado;Bahia;29;BA;PVL02.001841/2024-08;Encaminhado à PGFN com manifestação técnica favorável;17944.006677/2024-80;2025-03-20T17:31:59Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1000000000.0;0;1;27/03/2025
60782;Estado;Bahia;29;BA;PVL02.007004/2022-12;Deferido;17944.102769/2022-28;2022-07-14T10:15:21Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Banco de Brasília S/A;Real;200000000.0;0;0;15/07/2022
19016;Estado;Bahia;29;BA;00000.000000/2009-87;Encaminhado à PGFN com manifestação técnica favorável;17944.000485/2015-79;2015-11-03T00:00:00Z;Operação contratual interna (com garantia da União);Aditivo contratual;Instituição Financeira Nacional;Banco do Brasil S/A;Real;562740000.0;1;0;09/11/2015
18531;Estado;Bahia;29;BA;;Deferido;19407.000044/2002-65;2002-06-11T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;7360876.68;1;0;05/07/2002
11497;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001461/2013-75;2014-07-18T00:00:00Z;Operação contratual externa (com garantia da União);Desenvolvimento rural;Instituição Financeira Internacional;Fundo Internacional de Desenvolvimento Agrícola;Direito Especial - SDR;29260000.0;1;0;28/07/2014
71645;Estado;Bahia;29;BA;PVL02.001573/2024-16;Encaminhado à PGFN com manifestação técnica favorável;17944.003496/2025-82;2025-07-22T16:51:11Z;Operação contratual interna (com garantia da União);Novo PAC;Instituição Financeira Nacional;Caixa Econômica Federal;Real;616000000.0;0;1;20/08/2025
8733;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000833/2010-01;2010-06-18T00:00:00Z;Operação contratual interna (com garantia da União);PEF - Programa Emergencial de Financiamento dos Estados/DF 2;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;563772000.0;1;0;30/06/2010
20438;Estado;Bahia;29;BA;00000.000000/2017-83;Deferido;17944.001076/2015-90;2016-03-02T15:35:28Z;Operação contratual interna;Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;800000000.0;1;0;31/03/2016
18589;Estado;Bahia;29;BA;;Deferido;19407.000058/2004-41;2005-11-11T00:00:00Z;Operação contratual interna;Multissetorial;Instituição Financeira Nacional;Banco do Nordeste do Brasil S/A;Dólar dos EUA;14000000.0;1;0;08/12/2005
18595;Estado;Bahia;29;BA;;Deferido;19407.000060/2002-58;2002-06-21T00:00:00Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1400000.0;1;0;03/07/2002
18591;Estado;Bahia;29;BA;;Deferido;19407.000059/2002-23;2002-06-21T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;6779155.0;1;0;03/07/2002
18633;Estado;Bahia;29;BA;;Deferido;19407.000073/2003-16;2004-01-30T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;215013214.31;1;0;18/03/2004
64646;Estado;Bahia;29;BA;PVL02.000882/2023-98;Encaminhado à PGFN com manifestação técnica favorável;17944.102176/2023-42;2024-08-21T18:04:44Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;150000000.0;0;0;03/09/2024
10659;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001253/2012-95;2012-11-07T00:00:00Z;Operação contratual externa (com garantia da União);Fortalecimento Institucional;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;600000000.0;1;0;10/12/2012
10855;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001301/2014-15;2016-03-17T00:00:00Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;200000000.0;1;0;29/03/2016
10860;Estado;Bahia;29;BA;;Arquivado a pedido;17944.001302/2014-51;2015-04-14T00:00:00Z;Operação contratual externa (com garantia da União);Fortalecimento Institucional;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;50000000.0;0;0;02/10/2015
8535;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000794/2009-09;2009-07-27T00:00:00Z;Operação contratual interna (com garantia da União);PEF - Programa Emergencial de Financiamento dos Estados/DF;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;192569000.0;1;0;29/07/2009
11491;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001460/2012-40;2013-01-10T00:00:00Z;Operação contratual interna (com garantia da União);Proinveste;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;1487691272.64;1;0;07/02/2013
71413;Estado;Bahia;29;BA;PVL02.002221/2024-88;Encaminhado à PGFN com manifestação técnica favorável;17944.002845/2025-49;2025-07-07T18:58:47Z;Operação contratual interna (com garantia da União);Novo PAC;Instituição Financeira Nacional;Caixa Econômica Federal;Real;78269712.0;0;1;21/07/2025
18539;Estado;Bahia;29;BA;;Deferido;19407.000046/2002-54;2002-06-19T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1350000.0;1;0;03/07/2002
6610;Estado;Bahia;29;BA;;Deferido;17944.000392/2013-82;2013-07-08T00:00:00Z;Operação contratual interna;PAC 2 - Saneamento;Instituição Financeira Nacional;Caixa Econômica Federal;Real;208049640.06;1;0;25/07/2013
8115;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000716/2014-63;2014-07-11T00:00:00Z;Operação contratual externa (com garantia da União);Desenvolvimento rural;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;150000000.0;1;0;28/07/2014
64270;Estado;Bahia;29;BA;PVL02.000163/2023-77;Encaminhado à PGFN com manifestação técnica favorável;17944.101777/2023-38;2023-05-22T16:52:46Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1272000000.0;0;1;30/05/2023
5593;Estado;Bahia;29;BA;;Deferido;17944.000151/2004-42;2004-02-28T00:00:00Z;Operação contratual interna;Renegociação de dívidas;Instituição Financeira Nacional;Caixa Econômica Federal;Real;186364528.37;1;0;18/03/2004
71882;Estado;Bahia;29;BA;PVL02.001476/2025-12;Encaminhado à PGFN com manifestação técnica favorável;17944.004122/2025-84;2025-12-16T18:08:02Z;Operação contratual interna (com garantia da União);Amortização de dívida;Instituição Financeira Nacional;Banco Itaú Unibanco S/A;Real;2000000000.0;0;0;26/12/2025
40577;Estado;Bahia;29;BA;PVL02.008660/2019-37;Encaminhado à PGFN com manifestação técnica favorável;17944.104392/2019-46;2021-12-22T17:28:31Z;Operação contratual externa (com garantia da União);Profisco;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;40000000.0;0;0;30/12/2021
13126;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001925/2008-86;2011-01-13T00:00:00Z;Operação contratual externa (com garantia da União);Multissetorial;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;10000000.0;1;0;24/01/2011
18495;Estado;Bahia;29;BA;;Deferido;19407.000035/2002-74;2002-06-26T00:00:00Z;Operação contratual interna;Preservação e recuperação ambiental;Instituição Financeira Nacional;Caixa Econômica Federal;Real;36887000.0;1;0;08/07/2002
18372;Estado;Bahia;29;BA;;Deferido;19407.000009/2005-99;2005-06-30T00:00:00Z;Operação contratual interna;Segurança pública;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;16160501.26;1;0;26/07/2005
18527;Estado;Bahia;29;BA;;Deferido;19407.000043/2002-11;2002-06-21T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;8626204.0;1;0;05/07/2002
8858;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000853/2014-06;2014-07-10T00:00:00Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;400000000.0;1;0;16/07/2014
22572;Estado;Bahia;29;BA;00000.000000/2032-81;Arquivado pela STN;17944.000644/2016-16;2016-09-08T00:00:00Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Europeu de Investimento;Dólar dos EUA;200000000.0;0;0;11/01/2019
23723;Estado;Bahia;29;BA;PVL02.000640/2016-75;Encaminhado à PGFN com manifestação técnica favorável;17944.001273/2016-90;2017-06-06T15:33:06Z;Operação contratual interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;600000000.0;1;1;12/06/2017
12327;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001659/2008-91;2009-03-24T00:00:00Z;Operação contratual externa (com garantia da União);Fortalecimento Institucional;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;409000000.0;1;0;27/03/2009
71646;Estado;Bahia;29;BA;PVL02.000127/2025-75;Encaminhado à PGFN com manifestação técnica favorável;17944.003500/2025-11;2025-07-22T16:48:43Z;Operação contratual interna (com garantia da União);Novo PAC;Instituição Financeira Nacional;Caixa Econômica Federal;Real;154864809.0;0;0;20/08/2025
18535;Estado;Bahia;29;BA;;Deferido;19407.000045/2002-18;2002-06-19T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2975000.0;1;0;05/07/2002
18592;Estado;Bahia;29;BA;;Deferido;19407.000059/2003-12;2004-11-17T00:00:00Z;Operação contratual interna;Multissetorial;Instituição Financeira Nacional;Banco do Nordeste do Brasil S/A;Dólar dos EUA;10000000.0;1;0;03/12/2004
71157;Estado;Bahia;29;BA;PVL02.000816/2025-80;Deferido;17944.002329/2025-14;2025-06-04T18:03:08Z;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Outras Organizações;Pessoa Jurídica;Real;101573661.85;0;0;12/06/2025
